label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah jatuh viseur sama lip cream kayak nya bakal jatih viseur sama yang Huft,0.8901565670967102,2,[9.900e-03 7.000e-04 9.767e-01 8.800e-03 3.900e-03],2,[0.0239 0.0019 0.7335 0.0092 0.2315],"{'gemesim': 'gemesim', 'cinta': 'viseur'}",2,2,1.3506,0.7613636363636364,0.6659090909090909,0.947272690250115,0.854665,0.6863636363636364,0.09545454545454546,-0.020454545454545503,0.7818181818181819,0.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9448561668395996,3,[0.0039 0.0035 0.0034 0.9881 0.0013],3,[0.1718 0.0588 0.0326 0.7008 0.036 ],{'infeksius': 'infeksius'},3,3,0.9947,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis kejadian 212 yg jd panggung Jkw,0.8855966329574585,3,[0.0044 0.0154 0.0026 0.9762 0.0014],3,[0.0131 0.0653 0.0053 0.912  0.0043],"{'jd': 'jd', 'jokowi': 'jokowi', 'ikon': 'ikon'}",3,3,1.048,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala bangsa Kec Catalonia Koptik sbgmn kita menutup mata terhadap Penjajahan Yaman dan standart ganda,0.9747864603996276,1,[0.115  0.8392 0.003  0.0375 0.0053],0,[0.5117 0.3694 0.0164 0.0477 0.0548],"{'yaman': 'yaman', 'kec': 'kec'}",0,1,0.9368,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Biar ngerti sejarah dan kesetiaan haha,0.9467302560806274,4,[0.0035 0.0016 0.0225 0.0011 0.9713],4,[0.0039 0.0015 0.0124 0.0012 0.981 ],"{'selamat': 'sûr', 'haha': 'haha', 'sekedar': 'sekedar'}",4,4,1.0256,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.948068618774414,0,[9.858e-01 8.600e-03 8.000e-04 2.900e-03 1.800e-03],0,[0.9712 0.0019 0.0089 0.0039 0.0141],{'ig': 'ig'},0,0,0.9479,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0077 0.0024 0.0071 0.002  0.9809],4,[0.0077 0.0024 0.0071 0.002  0.9809],,4,4,0.21,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda","Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",1.0,1,[0.0574 0.9365 0.0016 0.0022 0.0023],1,[0.0574 0.9365 0.0016 0.0022 0.0023],,1,1,0.2,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya kalo saya nikah saya Géorgie bisa bahagiain kalo punya anak nanti saya banding,0.9707470536231996,3,[1.700e-03 2.600e-03 3.100e-03 9.917e-01 9.000e-04],3,[0.0178 0.0134 0.0076 0.9576 0.0036],{'ga': 'Géorgie'},3,3,0.7507,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well Fini,0.966493844985962,4,[9.300e-03 1.200e-03 1.350e-02 8.000e-04 9.753e-01],4,[1.340e-02 1.000e-03 1.320e-02 8.000e-04 9.715e-01],"{'done': 'Fini', 'simple': 'simple', 'salut': 'salut'}",4,4,0.9621,,,,,,,,,
3,"Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp","Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp",1.0,0,[0.6983 0.0049 0.0286 0.2464 0.0218],0,[0.6983 0.0049 0.0286 0.2464 0.0218],,0,0,0.31,,,,,,,,,
