text,sentiment,perturbed_text,perturbed_semantic_sim,orig_label,orig_prob,perturbed_label,perturbed_prob,running_time(s),before_attack_acc,after_attack_acc
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kempen sudah selesai bukan bermakna selesai pula usaha angkat tahap pilihan elektabilitas,0.8966459,1,0.8362002,1,0.96811646,4.98,0.96,0.94
tidak enak,2,tidak bagus,0.83981025,2,0.99788755,2,0.99789655,3.81,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,restoran ini tawaran makanan Sunda kami pesanan ayam goreng Kale sayur masam ikan karp goreng ikan terbakar nasi goreng karedok tahu tempe nasi putih nasi merah dan lain-lain minum yang mereka tawaran juga cukup variatif rasa makanan bagus dan harga murah kami 9 matang dan 5 anak kecil hanya habiskan,0.95798886,0,0.9976164,0,0.9901687,11.14,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,lokasi di segi empat sama segi empat sama Masak padang ini cukup terkenal dengan kepala ikan ikan kakap gule biasa saya mesej nasi bungkus padang mengandungi rendang ayam pop dan kuih muih bahagian banyak dan pengisian,0.9350821,0,0.9982331,0,0.9939002,7.27,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,bagaimana rosak akhlak kader pengisar yang ahli DPRD dicabul anak sekolah Menengah Rendah orang ramai harus bijak pandai pesta mana yang harus di lemas di 2019,0.868111,2,0.99257255,2,0.9832833,5.64,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,juara bistro berada di jalan raya taman kawung bersebelahan betul seberang stesen bandar Bandung harga makanan dan minum miliknya sangat mampu milik ada hidup muzik juga dan kalau bertuah anda akan berjumpa dengan yuk dewa19 di tempat ini,0.9314737,0,0.99707484,0,0.99495137,7.27,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,bilik miliknya sempit tidak ada tempat simpan barang malah Tambah barang oleh yang cara ini kipas2 mau ditempatkan mana mana uchiwa sebesar ini pula,0.9270037,2,0.9885656,2,0.9870964,6.05,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi singgah ke restoran ini mungkin lokasi miliknya strategik pertama masuk diberi senyum manis sama rindu yang mesra di di sana pun saya pesanan ayam pemanggang ais Thai teh dan hebat duper ais krim bagus saya suka,0.81694394,0,0.9982816,0,0.9977017,7.99,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya Tuan agama sesat itu,0.9916235,2,0.99814,2,0.9979443,5.64,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini tawaran sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa cadangan karena bagus rasanya yaitu terung goreng di sini saya baru bisa nikmatilah terung yang telah di proses sehingga terasa sedap,0.94894326,0,0.9965035,0,0.9976617,5.89,,
