label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]","Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",1.0,0,[0.9787 0.0033 0.0095 0.0047 0.0038],0,[0.9787 0.0033 0.0095 0.0047 0.0038],,0.29,0.7886363636363637,0.6522727272727272,0.9382890335538171,0.5775531818181818
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9448561668395996,3,[2.000e-03 1.100e-03 1.000e-03 9.952e-01 7.000e-04],1,[0.1026 0.5478 0.0027 0.2825 0.0644],"{'dan': 'jeung', 'duhh': 'duhh', 'hepatitis': 'hepatitis'}",0.9659,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg kalo Ahok jd jurkam Jokowi Nemo movement malah berbalik jd ikon punya Persis kajadian 212 yg jd panggung Jkw,0.8829764127731323,3,[2.600e-03 3.400e-03 4.000e-04 9.924e-01 1.200e-03],3,[9.000e-03 6.900e-03 3.000e-04 9.823e-01 1.400e-03],"{'kejadian': 'kajadian', 'yg': 'yg', 'kalo': 'kalo', 'jkw': 'jkw', 'nemo': 'nemo', 'gw': 'w', 'jurkamnya': 'jurkam', 'movement': 'movement', 'jokowi': 'jokowi', 'ikon': 'ikon', 'persis': 'persis', 'jd': 'jd', 'panggung': 'panggung'}",0.8235,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala bangsa Kec Catalonia Koptik sbgmn kita menutup panon terhadap Penjajahan Yaman dan standart ganda,0.9145479202270508,1,[6.400e-03 9.896e-01 4.000e-04 1.700e-03 1.800e-03],1,[0.2992 0.6739 0.0013 0.0095 0.016 ],"{'mata': 'panon', 'penjajahan': 'penjajahan', 'catalonia': 'catalonia', 'ganda': 'ganda', 'kec': 'kec', 'bangsa': 'bangsa', 'kemerdekaan': 'silaturahmi', 'menutup': 'menutup'}",0.7583,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton kompetisi Biar ngerti sajarah dan kesetiaan haha,0.9422270059585571,4,[1.10e-03 4.00e-04 2.59e-02 6.00e-04 9.72e-01],4,[3.100e-03 2.000e-04 3.120e-02 7.000e-04 9.648e-01],"{'selamat': 'selamat', 'sejarah': 'sajarah', 'haha': 'haha', 'pertandingan': 'kompetisi', 'biar': 'biar', 'ngerti': 'ngerti', 'ynwa': 'ynwa', 'lagu': 'lagu', 'dengar': 'dengar', 'resmi': 'resmi', 'jagoan': 'jagoan', 'si': 'si', 'dikasih': 'dikasih'}",1.9227,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.9480686187744141,0,[9.925e-01 2.300e-03 9.000e-04 2.100e-03 2.200e-03],0,[0.9118 0.0076 0.005  0.0298 0.0458],"{'twitter': 'twitter', 'butuh': 'butuh', 'melarikan': 'melarikan', 'pas': 'pas', 'ig': 'ig', 'aktip': 'aktip'}",0.5839,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0379 0.0013 0.0025 0.0053 0.953 ],4,[0.0379 0.0013 0.0025 0.0053 0.953 ],,0.22,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",Bukan gw yang ga mau ikut tapi dompet yang protes mulu lu gw ga di isi dompet badan lu kurusin jangan Oke sip besok ku lembur baghai qhuda,0.9751265048980713,0,[8.535e-01 1.325e-01 7.000e-04 1.200e-03 1.210e-02],1,[5.200e-03 9.927e-01 2.000e-04 4.000e-04 1.500e-03],{},0.7616,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya kalo saya kawin saya ga bisa bahagiain kalo punya anaking nanti saya banding,0.9378491640090942,3,[1.000e-03 1.200e-03 4.000e-04 9.969e-01 5.000e-04],3,[2.300e-03 2.000e-03 5.000e-04 9.947e-01 5.000e-04],"{'kalo': 'kalo', 'ga': 'ga', 'nikah': 'kawin', 'banding': 'banding', 'anak': 'anaking'}",0.4147,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well done,0.9728268384933472,4,[0.1366 0.001  0.0376 0.0016 0.8232],4,[6.500e-03 7.000e-04 1.400e-03 5.000e-04 9.909e-01],"{'tokopedia': 'tokopedia', 'well': 'well', 'ad': 'ad', 'nabung': 'nabung', 'gua': 'gua', 'dengan': 'dengan', 'simple': 'simple', 'makan': 'makan', 'bikin': 'bikin', 'langsung': 'langsung', 'done': 'done', 'salut': 'salut'}",0.7157,,,,
3,"Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp","Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp",1.0,0,[0.9843 0.0014 0.0013 0.0112 0.002 ],0,[0.9843 0.0014 0.0013 0.0112 0.002 ],,0.2,,,,
3,"[USERNAME] [USERNAME] Tidak disemua tempat kita boleh melaksanakan sholat, salah satunya di bangunan yang didirikan untuk kekafiran (salah satunya gereja). Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk. [URL]",Tidak disemua tempat kita boleh melaksanakan salah satunya di bangunan yang didirikan untuk kekafiran satunya Aku panutup kepada ALLAAH dari godaan Sétan yang,0.9055710434913635,3,[1.080e-02 3.100e-03 6.000e-04 9.848e-01 7.000e-04],3,[0.1158 0.0116 0.0057 0.8617 0.0052],"{'berlindung': 'panutup', 'aku': 'hamba', 'disemua': 'disemua', 'setan': 'Sétan', 'godaan': 'godaan', 'bangunan': 'bangunan', 'allaah': 'allah', 'tidak': 'tidak', 'satunya': 'satunya', 'salah': 'salah'}",1.1168,,,,
1,"Akhirnya jamaahnya tercuci otak, seakan-akan memilih paslon pilkada itu karena kewajiban dari imam besarnya. Bagi mereka program paslon ga penting, yg penting takbir terus milih.","Akhirnya jamaahnya tercuci otak, seakan-akan memilih paslon pilkada itu karena kewajiban dari imam besarnya. Bagi mereka program paslon ga penting, yg penting takbir terus milih.",1.0,0,[0.6987 0.2723 0.0023 0.0074 0.0193],0,[0.6987 0.2723 0.0023 0.0074 0.0193],,0.21,,,,
